Cluster ID,Concept ID,Term
dm_cod,237627000,Pregnancy and type 2 diabetes mellitus
dm_cod,44054006,Type 2 diabetes mellitus
dm_cod,385051000000106,Pre-existing diabetes mellitus
dm_cod,426705001,Diabetes mellitus associated with cystic fibrosis (disorder)
dm_cod,51002006,Secondary pancreatic diabetes mellitus
dm_cod,237651005,Type A insulin resistance
dm_cod,199230006,Pre-existing type 2 diabetes mellitus
dm_cod,28032008,Insulin dependent diabetes mellitus type 1B
dm_cod,716362006,Gingival disease co-occurrent with diabetes mellitus (disorder)
dm_cod,722454003,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome (disorder)"
dm_cod,105401000119101,Diabetes mellitus due to pancreatic injury (disorder)
dm_cod,70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness
dm_cod,313435000,Type I diabetes mellitus without complication
dm_cod,1217068008,Fulminant type 1 diabetes mellitus (disorder)
dm_cod,890171006,KPDM - ketosis-prone diabetes mellitus
dm_cod,10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder)
dm_cod,91352004,Insulinopathy
dm_cod,609565001,Permanent neonatal diabetes mellitus (disorder)
dm_cod,237652003,Insulin resistance - type B
dm_cod,703136005,Diabetes mellitus in remission (disorder)
dm_cod,737212004,Diabetes mellitus caused by chemical (disorder)
dm_cod,609581006,"Diabetes mellitus, transient neonatal 3 (disorder)"
dm_cod,413183008,Diabetes mellitus induced by non-steroid drugs without complication (disorder)
dm_cod,75022004,"Gestational diabetes mellitus, class A>1<"
dm_cod,46894009,Gestational diabetes mellitus class A2 (disorder)
dm_cod,609570008,MODY3
dm_cod,190447002,Steroid-induced diabetes
dm_cod,2751001,Fibrocalculous pancreatic diabetes
dm_cod,734022008,Wolfram-like syndrome (disorder)
dm_cod,237604008,MODY2
dm_cod,1255271005,"Juvenile-onset diabetes mellitus, central and peripheral neurodegeneration syndrome (disorder)"
dm_cod,76751001,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium"
dm_cod,190416008,Steroid-induced diabetes mellitus without complication
dm_cod,368521000119107,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus (disorder)
dm_cod,106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
dm_cod,609571007,"Maturity-onset diabetes of the young, type 4"
dm_cod,23045005,Insulin dependent diabetes mellitus type 1A
dm_cod,609566000,Pregnancy and type 1 diabetes mellitus
dm_cod,733072002,Stimmler syndrome
dm_cod,721088003,"Developmental delay, epilepsy, neonatal diabetes syndrome (disorder)"
dm_cod,33559001,"Pineal hyperplasia, insulin-resistant diabetes mellitus and somatic abnormalities"
dm_cod,75682002,Diabetes mellitus due to insulin receptor antibodies
dm_cod,237603002,Transient neonatal diabetes mellitus
dm_cod,385041000000108,Diabetes mellitus with multiple complications
dm_cod,445260006,Posttransplant diabetes mellitus (disorder)
dm_cod,816067005,"Diabetes, hypogonadism, deafness, intellectual disability syndrome"
dm_cod,703137001,Type I diabetes mellitus in remission (disorder)
fh_cvd_cod,315621006,"Family history of myocardial infarction in female relative of first degree, age known (situation)"
fh_cvd_cod,275122004,FH: Myocardial infarction < 60
fh_cvd_cod,297242006,Family history of ischemic heart disease (situation)
fh_cvd_cod,266908007,Family history: Congenital CVS anomaly (situation)
fh_cvd_cod,430753003,Family history of aneurysm of thoracic aorta (situation)
fh_cvd_cod,266894000,Family history: Cardiovascular disease (situation)
fh_cvd_cod,430102007,Family history of aneurysm of artery (situation)
fh_cvd_cod,390915000,FH: Cardiomyopathy (context-dependent category)
fh_cvd_cod,401067009,Family history: Myocardial infarct in 1st degree male relative <55 years (context-dependent category)
fh_cvd_cod,266895004,Family history: Ischemic heart disease at less than 60 years (situation)
fh_cvd_cod,429978009,Family history of endocarditis (situation)
fh_cvd_cod,275121006,Family history: Angina (situation)
fh_cvd_cod,160342001,Family history of migraine
fh_cvd_cod,160362009,Family history of atherosclerosis
fh_cvd_cod,310247005,Family history: Thrombosis (situation)
fh_cvd_cod,413302005,FH: angina grandparent (context-dependent category)
fh_cvd_cod,430801003,Family history of pulmonary embolism (situation)
fh_cvd_cod,315622004,"Family history of myocardial infarction in female relative of first degree, age unknown (situation)"
fh_cvd_cod,520301000000107,Family history of venous disease (situation)
fh_cvd_cod,315623009,"Family history of angina in male relative of first degree, age known (situation)"
fh_cvd_cod,275123009,FH: Myocardial infarction > 60
fh_cvd_cod,275120007,FH: Heart disorder
fh_cvd_cod,433305001,Family history of congestive heart failure (situation)
fh_cvd_cod,198381000000104,Family history of HOCM (hypertrophic obstructive cardiomyopathy)
fh_cvd_cod,64041000119100,Family history of complex congenital heart disease (situation)
fh_cvd_cod,515711000000105,Family history of myocardial infarction in second degree relative less than 50 years (situation)
fh_cvd_cod,430710003,Family history of thromboembolic disorder (situation)
fh_cvd_cod,401065001,Family history: Angina in 1st degree female relative <65 years (context-dependent category)
fh_cvd_cod,198301000000109,Family history of deep vein thrombosis (context-dependent category)
fh_cvd_cod,266894000,Family history: Cardiovascular disease (situation)
fh_cvd_cod,430730004,Family history of mitral valve regurgitation (situation)
fh_cvd_cod,438825005,Family history of cardiovascular disease in first degree female relative less than 65 years of age (situation)
fh_cvd_cod,160401003,FH: Raised B.P. in pregnancy
fh_cvd_cod,14580001000004104,Family history of Churg-Strauss syndrome
fh_cvd_cod,160364005,FH: Congen heart disease
fh_cvd_cod,429952000,Family history of stenosis of aortic valve (situation)
fh_cvd_cod,315626001,"Family history of angina in female relative of first degree, age known (situation)"
fh_cvd_cod,315627005,"Family history of angina in female relative of first degree, age unknown (situation)"
fh_cvd_cod,430568004,Family history of dissection of aorta (situation)
fh_cvd_cod,515741000000106,Family history of myocardial infarction in first degree relative less than 60 years (situation)
fh_cvd_cod,439154009,Family history of myocarditis (situation)
fh_cvd_cod,266897007,Family history: Myocardial infarction (situation)
fh_cvd_cod,704009004,Family history of disorder of vein
fh_cvd_cod,401122004,Family history: Angina in 1st degree male relative <55 years (context-dependent category)
fh_cvd_cod,117361000119104,Family history of sudden cardiac death (situation)
fh_cvd_cod,275911004,FH: Angina > 60yrs
fh_cvd_cod,430674005,Family history of cerebral artery occlusion (situation)
fh_cvd_cod,266896003,FH: Ischaemic heart dis. >60
fh_cvd_cod,160357008,Family history of hypertension
fh_cvd_cod,395125009,FH: Aortic aneurysm (context-dependent category)
fh_cvd_cod,315620007,"Family history of myocardial infarction in male relative of first degree, age unknown (situation)"
fh_cvd_cod,430091005,Family history of coronary arteriosclerosis (situation)
fh_cvd_cod,315625002,"Family history of angina in male relative of first degree, age unknown (situation)"
fh_cvd_cod,433276002,Family history of atrial fibrillation (situation)
fh_cvd_cod,417648007,Family history of pulmonary infundibular stenosis (context-dependent category)
fh_cvd_cod,439724007,Family history of cardiovascular disease in first degree male relative less than 55 years of age (situation)
fh_cvd_cod,134439009,FH: premature coronary heart disease
fh_cvd_cod,275124003,Family history: Coronary thrombosis (situation)
fh_cvd_cod,10624451000119103,Family history of aneurysm of blood vessel of brain (situation)
fh_cvd_cod,698248002,Family history of cardiac arrhythmia (situation)
fh_cvd_cod,275104002,FH: stroke/CVA
fh_cvd_cod,203261000000108,Family history of coronary heart disease (context-dependent category)
fh_cvd_cod,725118003,Family history of aneurysm of abdominal aorta (situation)
fh_cvd_cod,429958001,Family history of conduction disorder of the heart (situation)
fh_cvd_cod,429959009,Family history of heart failure (situation)
fh_cvd_cod,315619001,"Family history of myocardial infarction in male relative of first degree, age known (situation)"
fh_cvd_cod,160363004,FH: TIA
fh_cvd_cod,433449000,Family history of ventricular premature beats (situation)
fh_cvd_cod,275932007,FH: Angina < 60yrs
fh_cvd_cod,700190003,Family history of pre-eclampsia
fh_cvd_cod,401066000,Family history Myocardial infarct in 1st degree female relative <65 yrs (context-dependent category)
fh_cvd_cod,700192006,Family history of long QT syndrome (situation)
fh_cvd_cod,199731000000107,Family history of anomalous coronary artery (situation)
fh_cvd_cod,858191000000103,Family history of peripheral vascular disease (situation)
pain_cod,443503005,Periumbilical pain (finding)
pain_cod,408751001,"Complex regional pain syndrome, type II (disorder)"
pain_cod,15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)
pain_cod,674051000119103,Chronic neck pain for greater than 3 months (finding)
pain_cod,162397003,Throat soreness
pain_cod,314831005,Tactile discrimination left foot normal
pain_cod,908801000000103,Touch sensation of left dermatome of first thoracic nerve reduced (finding)
pain_cod,279047007,Persistent pain following procedure
pain_cod,19057007,Status anginosus
pain_cod,63901009,Testicular pain
pain_cod,45979003,Abdominal wind pain
pain_cod,288228002,Myalgia/myositis - forearm
pain_cod,725058003,Short-lasting unilateral neuralgiform headache attacks with conjunctival injection and tearing syndrome (disorder)
pain_cod,162307009,Aching headache
pain_cod,87343002,Variant angina
pain_cod,912451000000104,Touch sensation of right dermatome of second sacral nerve absent (finding)
pain_cod,371809004,Recurrent angina status post coronary stent placement (disorder)
pain_cod,247385000,Lateral femoral cutaneous neuralgia
pain_cod,1096001000000103,Touch sensation of left dermatome of second thoracic nerve absent
pain_cod,236554001,Pain during inflow of dialysate
pain_cod,199881000000102,10 gram monofilament sensation plantar aspect of great toe right foot present (finding)
pain_cod,704677002,Tarsalgia (finding)
pain_cod,16270661000119100,Absence of sensation due to conversion disorder
pain_cod,923571000000106,Pin prick sensation of left dermatome of third lumbar nerve normal (finding)
pain_cod,65323003,Polymyalgia rheumatica
pain_cod,923351000000108,Pin prick sensation of left dermatome of second lumbar nerve normal (finding)
pain_cod,314041007,Abdominal pain in early pregnancy
pain_cod,102615007,Ulcer-type pain
pain_cod,202490009,Arthralgia of ankle
pain_cod,423893004,Pain following sexual intercourse (finding)
pain_cod,230471006,Chronic tension-type headache
pain_cod,69186005,Broad ligament laceration syndrome
pain_cod,925741000000105,Pin prick sensation of left dermatome of fourth cervical nerve reduced (finding)
pain_cod,1096651000000109,Touch sensation of left dermatome of tenth thoracic nerve exaggerated
pain_cod,21005005,Burning epigastric pain
pain_cod,433017009,Pain in symphysis pubis in pregnancy (finding)
pain_cod,50745000,Hemianalgesia (finding)
pain_cod,91943004,Arthralgia of temporomandibular joint
pain_cod,267982002,Pain in lumbar spine (disorder)
pain_cod,722983008,Headache due to injury of head and neck (finding)
pain_cod,762595001,Chronic painful chemotherapy-induced polyneuropathy
pain_cod,95398006,Injection site anesthesia
pain_cod,74704000,Abdominal pain through to back
pain_cod,271805006,Anesthesia of skin
pain_cod,1076731000119106,Joint pain in left hand (finding)
pain_cod,923971000000100,Pin prick sensation of right dermatome of fifth lumbar nerve reduced (finding)
pain_cod,15634791000119106,Paresthesia of right lower limb
pain_cod,78514002,Meralgia
pain_cod,4568003,Retrosternal pain
pain_cod,923141000000108,Pin prick sensation of left dermatome of second sacral nerve normal (finding)
pain_cod,21470009,Syncope anginosa
pain_cod,1097021000000109,Touch sensation of right dermatome of third sacral nerve normal
pain_cod,129612002,Anterior ethmoidal nerve syndrome
pain_cod,287048003,Pain in right lower limb (finding)
pain_cod,1010233001,Earache of left ear
pain_cod,309086004,Paraesthesia of hand
pain_cod,16331000,Heartburn
pain_cod,735936005,Chronic neuropathic pain (finding)
pain_cod,912411000000103,Touch sensation of left dermatome of second lumbar nerve absent (finding)
pain_cod,722981005,Infrequent episodic tension-type headache (disorder)
pain_cod,924171000000104,Touch sensation of right dermatome of third cervical nerve normal (finding)
pain_cod,193183000,Acute painful diabetic neuropathy
pain_cod,287046004,Pain in right upper limb
pain_cod,428432004,Spontaneous pain (finding)
pain_cod,293941000119105,Complex regional pain syndrome type I of left upper limb (disorder)
pain_cod,301380003,Mild present pain
pain_cod,247386004,Obturator neuralgia
pain_cod,230654000,Painful legs and moving toes
pain_cod,279037009,Thoracic segmental dysfunction (disorder)
pain_cod,907811000000100,Pin prick sensation of left dermatome of first thoracic nerve normal (finding)
pain_cod,733826000,Pain due to fracture (finding)
pain_cod,923311000000109,Pin prick sensation of right dermatome of second lumbar nerve absent (finding)
pain_cod,397774002,Pain during labor and and delivery (finding)
pain_cod,162505000,Tightening pain
pain_cod,762599007,Chronic mechanical visceral pain (disorder)
pain_cod,424806009,Stated pain intensity within acceptable range (finding)
pain_cod,247353003,Site of abdominal pain
pain_cod,908871000000106,Touch sensation of right dermatome of first thoracic nerve reduced (finding)
pain_cod,91019004,Paresthesia
pain_cod,313387002,Phonophobia
pain_cod,925751000000108,Pin prick sensation of right dermatome of fourth cervical nerve normal (finding)
pain_cod,926281000000101,Pin prick sensation of left dermatome of sixth cervical nerve absent (finding)
pain_cod,427935006,Pain relief by rest (finding)
pain_cod,439469002,Recurrent abdominal pain (finding)
pain_cod,275321000,Vulva sore
pain_cod,301373000,Exhausting with pain
pain_cod,271843009,Painful straining for stool
pain_cod,225569001,Painful blind eye
pain_cod,830114005,Reduced deep sensation
pain_cod,736464002,Chronic idiopathic pain syndrome (disorder)
pain_cod,298753001,Numbness of upper limb
pain_cod,14090001000004102,Neuropathic pain due to radiation
pain_cod,14049007,Chaussier's sign
pain_cod,1096691000000101,Touch sensation of right dermatome of tenth thoracic nerve exaggerated
pain_cod,266599000,Menorrhalgia
pain_cod,7674000,Trochanteric bursitis
pain_cod,449313005,Referred pain in face (finding)
pain_cod,98611000119104,Chronic post-thoracotomy pain syndrome
pain_cod,762597009,Chronic musculoskeletal pain due to persistent inflammation (disorder)
pain_cod,25416002,Peripheral neuralgia (finding)
pain_cod,762397008,Burning sensation of skin
pain_cod,923261000000102,Touch sensation of left dermatome of third lumbar nerve absent (finding)
pain_cod,162147009,C/O pelvic pain
pain_cod,1096551000000105,Touch sensation of right dermatome of eighth thoracic nerve reduced
pain_cod,712831003,Frequent headache (finding)
pain_cod,1156105001,Pain in sacrum
pain_cod,33653009,Sensory anaesthesia
pain_cod,721156008,Cyclic pelvic pain (finding)
pain_cod,60043000,Midabdominal crampy pain (finding)
pain_cod,162040008,Abdominal migraine - symptom
pain_cod,62171003,Plantar heel pain
pain_cod,23186000,Migraine - menstrual
pain_cod,309538000,Numbness of foot
pain_cod,422136003,Neuralgia associated with AIDS (disorder)
pain_cod,300953009,Pain in axilla
pain_cod,445178008,Burning sensation of vagina (finding)
pain_cod,608831003,Thoracic discogenic pain
pain_cod,371094000,Colicky hypogastric pain (finding)
pain_cod,428557006,Squeezing pain (finding)
pain_cod,316941000119108,Pain of right lower leg (finding)
pain_cod,427653003,Pain radiating to right leg (finding)
pain_cod,203082005,Fibromyalgia (disorder)
pain_cod,16513000,Postcordotomy pain
pain_cod,17111003,Postinfectious neuralgia
pain_cod,1119294003,Unilateral headache on left side of head
pain_cod,371806006,Progressive Angina (disorder)
pain_cod,101000119102,Numbness and tingling sensation of skin
pain_cod,11996641000119105,Pain of amputation stump of right lower extremity
pain_cod,15749801000119104,Chronic pain of bilateral feet (finding)
pain_cod,240107001,Viral myalgia
pain_cod,1096771000000109,Touch sensation of right dermatome of eleventh thoracic nerve exaggerated
pain_cod,926461000000109,Touch sensation of right dermatome of fifth cervical nerve exaggerated (finding)
pain_cod,734987002,Complex regional pain syndrome of foot (disorder)
pain_cod,713889004,Atypical odontalgia
pain_cod,924081000000101,Touch sensation of left dermatome of fifth lumbar nerve normal (finding)
pain_cod,288241003,Pain in limb - multiple
pain_cod,1096061000000104,Touch sensation of right dermatome of second thoracic nerve normal
pain_cod,277352000,Suxamethonium pains
pain_cod,315241008,PAIN OF METASTATIC MALIGNANCY
pain_cod,926661000000107,Touch sensation of right dermatome of seventh cervical nerve absent (finding)
pain_cod,428264009,Painful gait (finding)
pain_cod,703619001,PGP - pelvic girdle pain
pain_cod,16002951000119109,Pain of bilateral lower limbs co-occurrent and due to ischaemia
pain_cod,301376008,Fearful with pain
pain_cod,80474004,Absence of vibratory sense
pain_cod,1096831000000101,Touch sensation of left dermatome of twelfth thoracic nerve reduced
pain_cod,247339003,Sensation as if stool remains in rectum
pain_cod,30077003,Somatoform pain disorder
pain_cod,414991007,Painful rectal bleeding (finding)
pain_cod,202496003,Arthralgia of lesser metatarsophalangeal joint
pain_cod,199831000000101,10 gram monofilament sensation plantar aspect of middle toe left foot present (finding)
pain_cod,698006004,Pain in tooth pulp
pain_cod,912511000000104,Touch sensation of right dermatome of second sacral nerve exaggerated (finding)
pain_cod,1096321000000109,Touch sensation of left dermatome of sixth thoracic nerve absent
pain_cod,926731000000107,Touch sensation of left dermatome of eighth cervical nerve reduced (finding)
pain_cod,301201000119105,Repetitive motion disorder of left lower leg (disorder)
pain_cod,924201000000103,Pin prick sensation of left dermatome of third cervical nerve reduced (finding)
pain_cod,299956006,Normal sensation
pain_cod,431481001,Chronic pain due to injury (finding)
pain_cod,909771000000105,Touch sensation of right dermatome of first sacral nerve reduced (finding)
pain_cod,778003000,Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain
pain_cod,102570003,Inguinodynia
pain_cod,912401000000100,Touch sensation of right dermatome of second lumbar nerve absent (finding)
pain_cod,76691009,Brachial neuralgia
pain_cod,274815001,Joint position sense absent
pain_cod,307225003,Perianal pain
pain_cod,774135008,Pain of left shoulder blade
pain_cod,712752004,Myalgia of pelvic floor (finding)
pain_cod,911151000000104,Touch sensation of left dermatome of second lumbar nerve normal (finding)
pain_cod,14040001000004109,Uncontrolled pain (finding)
pain_cod,924051000000107,Touch sensation of left dermatome of fifth lumbar nerve reduced (finding)
pain_cod,735935009,Chronic pain due to malignant neoplastic disease (finding)
pain_cod,1096511000000106,Touch sensation of left dermatome of eighth thoracic nerve reduced
pain_cod,200073003,Spinal and epidural anesthesia-induced headache during the puerperium
pain_cod,301357006,Frontal sinus pain
pain_cod,239938009,Giant cell arteritis with polymyalgia rheumatica
pain_cod,923621000000108,Touch sensation of right dermatome of fourth lumbar nerve absent (finding)
pain_cod,403390002,Primary erythromelalgia (disorder)
pain_cod,95670000,Nervus intermedius neuralgia
pain_cod,301354004,Pain of ear structure
pain_cod,16207081000119105,Pain of amputation stump of bilateral lower extremities
pain_cod,279053007,Sympathetic dependent pain
pain_cod,279069000,Rheumatic pain
pain_cod,300108008,Numbness of pinna
pain_cod,274667000,Pain of jaw
pain_cod,62647006,Proctalgia fugax
pain_cod,923221000000105,Touch sensation of right dermatome of third lumbar nerve reduced (finding)
pain_cod,67849003,Excruciating pain
pain_cod,314642004,Intermittent pain
pain_cod,274279008,Renal pain
pain_cod,926891000000100,Finding of touch sensation of dermatome of sacral nerve (finding)
pain_cod,449203004,Focal seizure with experiential sensory symptoms (disorder)
pain_cod,244131000000103,Pain commenced in street (finding)
pain_cod,310481001,Complaining of paresthesia (finding)
pain_cod,301362007,Pain of digestive structure
pain_cod,102998005,Cryanesthesia
pain_cod,289670006,Pain on movement of uterus
pain_cod,301823007,Burning sensation of ear
pain_cod,1149085006,Satisfied with management of pain
pain_cod,73645008,Visceral pain
pain_cod,271853005,Hypochondrial pain
pain_cod,416562001,Axis pressure pain (finding)
pain_cod,102626001,Liver pain
pain_cod,279016001,Cervicogenic headache
pain_cod,247389006,Intercostal neuralgia
pain_cod,429629001,Pain relief by antacid (finding)
pain_cod,473008002,Pain in cheek (finding)
pain_cod,301378009,Observation of present pain intensity
pain_cod,279043006,Buttock pain
pain_cod,287045000,Pain in left upper limb
pain_cod,285388000,Right sided abdominal pain
pain_cod,307177001,Chronic sciatica
pain_cod,7093002,Renal colic
pain_cod,112581000119104,Acute knee joint pain
pain_cod,308075008,Pin prick sensation of left foot abnormal
pain_cod,1255282002,Pain due to and following wrist arthroplasty (disorder)
pain_cod,15960461000119105,Unstable angina due to arteriosclerosis of autologous arterial coronary artery bypass graft
pain_cod,1075651000119101,Pain of left sternoclavicular joint
pain_cod,18876004,Pain in finger
pain_cod,1096751000000100,Touch sensation of left dermatome of eleventh thoracic nerve reduced
pain_cod,274663001,Acute pain
pain_cod,95359001,Mucosal numbness
pain_cod,102613000,Localized abdominal pain
pain_cod,1096671000000100,Touch sensation of left dermatome of tenth thoracic nerve reduced
pain_cod,299925003,Observation of pin prick discrimination
pain_cod,796791000000106,Absent light touch sensation left foot (finding)
pain_cod,1096251000000107,Touch sensation of left dermatome of fifth thoracic nerve exaggerated
pain_cod,927051000000104,Touch sensation of left dermatome of fourth cervical nerve reduced (finding)
pain_cod,926431000000104,Pin prick sensation of left dermatome of eighth cervical nerve normal (finding)
pain_cod,21615003,Autonomic facial cephalgia
pain_cod,271712005,Observation of sensation
pain_cod,197232005,Anorectal pain
pain_cod,734986006,Complex regional pain syndrome of lower limb (disorder)
pain_cod,202489000,Tibiofibular joint pain
pain_cod,103016004,Lumbosacral nerve root pain
pain_cod,244151000000105,Pain commenced outdoors (finding)
pain_cod,314116003,Post infarct angina
pain_cod,162048001,Right subcostal pain
pain_cod,102481003,Generalized chronic body pains
pain_cod,427128002,Gradual onset of pain (finding)
pain_cod,923171000000102,Pin prick sensation of right dermatome of second sacral nerve reduced (finding)
pain_cod,1096181000000107,Touch sensation of left dermatome of fourth thoracic nerve normal
pain_cod,279055000,Obstetric pain
pain_cod,426120002,Pain provoked by rest (finding)
pain_cod,95443002,Venous intermittent claudication
pain_cod,711057003,Phantom pain following amputation of lower limb (disorder)
pain_cod,299903009,Hot-cold discrimination reduced
pain_cod,279052002,Sympathetically independent pain
pain_cod,925911000000106,Touch sensation of right dermatome of fourth cervical nerve normal (finding)
pain_cod,145621000146106,Headache on exertion
pain_cod,198402002,Dyspareunia due to non-psychogenic cause in the female
pain_cod,247420009,Sexual function painful
pain_cod,27355003,Pain in tooth
pain_cod,926131000000108,Pin prick sensation of right dermatome of fifth cervical nerve absent (finding)
pain_cod,712537009,Complex regional pain syndrome of upper limb (disorder)
pain_cod,735937001,Acute pain in face (finding)
pain_cod,17974002,Post-herpetic trigeminal neuralgia
pain_cod,926341000000102,Pin prick sensation of right dermatome of seventh cervical nerve normal (finding)
pain_cod,271832001,"Flatulence, eructation and gas pain"
pain_cod,796721000000108,Normal light touch sensation right foot (finding)
pain_cod,41652007,Ocular pain
pain_cod,762603007,Chronic peripheral neuropathic pain (finding)
pain_cod,308076009,Pin prick sensation of right foot normal
pain_cod,762592003,Chronic primary headache
pain_cod,299950000,Lhermitte's phenomenon
pain_cod,425839000,Pain radiating to head (finding)
pain_cod,102588006,Chest wall pain
pain_cod,924181000000102,Pin prick sensation of right dermatome of third cervical nerve exaggerated (finding)
pain_cod,1097081000000105,Touch sensation of right dermatome of fourth sacral nerve absent
pain_cod,907901000000105,Pin prick sensation of right dermatome of first thoracic nerve exaggerated (finding)
pain_cod,427304006,Finding of response to pain (finding)
pain_cod,247373008,Ankle pain
pain_cod,816065002,Normal sensation of pain
pain_cod,299913001,Impaired light touch sensation
pain_cod,924211000000101,Pin prick sensation of right dermatome of third cervical nerve reduced (finding)
pain_cod,23189007,Idiopathic vulvodynia
pain_cod,608832005,Lumbar discogenic pain (disorder)
pain_cod,1260345007,Headache due to arterial hypertension (finding)
pain_cod,734988007,Complex regional pain syndrome of knee (disorder)
pain_cod,82423001,Chronic pain
