2025-02-19 21:21:43 - Database connections opened successfully.
2025-02-19 21:21:43 - Loading transitive closure table into memory...
2025-02-19 21:22:07 - Loaded transitive closure table with 1108452 keys.
2025-02-19 21:22:07 - Loading history table into memory...
2025-02-19 21:22:08 - Loaded history table with 307273 keys.
2025-02-19 21:22:08 - Reading input CSV file 'Cerner_UK_Clinical_Standard-12-02-2025.csv'.
2025-02-19 21:22:09 - Found 1233 unique cluster IDs to process.
2025-02-19 21:22:09 - Cluster 'ACE_INHIBITOR_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ADVANCED_DIRECTIVE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_ABUSE_OR_DEPENDENCE_CLIN': original count = 3, added = 0, new total = 3 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_ASSESSMENT_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_MISUSE_INTERVENTIONS_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_MISUSE_INTERVENTION_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_TREATMENT_SERVICE_REFERRAL_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_NON_USE_PERSONAL_REASON_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_NON_USE_RELIGIOUS_REASON_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_NON_USE_CLIN': original count = 1, added = 13, new total = 14 codes.
2025-02-19 21:22:09 - Cluster 'ALCOHOL_USER_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ALLERGIC_ASTHMA_CLIN': original count = 2, added = 17, new total = 19 codes.
2025-02-19 21:22:10 - Cluster 'ALLERGY_TEST_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ALLERGY_TO_EGGS_CLIN': original count = 3, added = 0, new total = 3 codes.
2025-02-19 21:22:10 - Cluster 'ALPHA_1_ANTITRYPSIN_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ALPHA_1_ANTITRYPSIN_DEFICIENCY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'AMPUTEE_LOWER_LIMB_BILATERAL_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'AMPUTEE_LOWER_LIMB_LEFT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'AMPUTEE_LOWER_LIMB_RIGHT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ANGINA_PECTORIS_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ANGINA_UNSTABLE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ACE_INHIBITOR_THERAPY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ANGIOTENSIN_II_RECEPTOR_BLOCKER_THERAPY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ANKLE_EDEMA_CLIN': original count = 2, added = 4, new total = 6 codes.
2025-02-19 21:22:10 - Cluster 'ANTICOAGULANT_THERAPY_CLIN
ANTICOAGULANT_THERAPY_SITUATION': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ANTIPSYCHOTIC_TREATMENT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ANXIETY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ANXIETY_RESOLVED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ANXIETY_SCREENING_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ARRHYTHMIA_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ASCITES_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ASPIRATION_PNEUMONITIS_OR_PNEUMONIA_CLIN': original count = 1, added = 15, new total = 16 codes.
2025-02-19 21:22:10 - Cluster 'ASPIRIN_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ASPIRIN_ALLERGY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ASPIRIN_PROPHYLAXIS_CONTRAINDICATED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ASPLENIA_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_CLIN': original count = 2, added = 17, new total = 19 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_ACTION_PLAN_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_DAYTIME_SYMPTOMS_CLIN': original count = 2, added = 17, new total = 19 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_NIGHT_TIME_SYMPTOMS_CLIN': original count = 2, added = 17, new total = 19 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_RESOLVED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_REVIEW_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ASTHMA_TRIGGER_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'AT_RISK_OF_PRESSURE_ULCER_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATOPY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATRIAL_FIBRILLATION_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ATRIAL_FIBRILLATION_RESOLVED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATRIAL_FLUTTER_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'ATTENDED_BREAST_SCREENING_SERVICE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATTENDED_DM_STRUCTURED_EDUCATION_PROGRAMME_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATTENDED_EATING_DISORDER_SERVICE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATTENDED_SMOKING_CESSATION_CLINIC_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'ATTENDED_WEIGHT_MANAGEMENT_SERVICE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'AVAILABILITY_OF_CARER_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BED_BOUND_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BETA_BLOCKER_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BETA_BLOCKER_ALLERGY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BETA_BLOCKER_CONTRAINDICATION_CLIN': original count = 2, added = 3, new total = 5 codes.
2025-02-19 21:22:10 - Cluster 'BETA_BLOCKER_THERAPY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BETA_2_AGONIST_ALLERGY_CLIN': original count = 1, added = 9, new total = 10 codes.
2025-02-19 21:22:10 - Cluster 'BISEXUAL_CLIN': original count = 3, added = 31, new total = 34 codes.
2025-02-19 21:22:10 - Cluster 'BLINDNESS_BILATERAL_CLIN': original count = 3, added = 70, new total = 73 codes.
2025-02-19 21:22:10 - Cluster 'BLOOD_GLUCOSE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BLOOD_GLUCOSE_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BP_PROCEDURE_REFUSED_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_BELOW_NORMAL_ADULT_CLIN': original count = 2, added = 15, new total = 17 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_GREATER_THAN_25_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_LESS_THAN_20_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_BMI_LESS_THAN_18_POINT_5_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_25_TO_30_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_BMI_GREATER_THAN_30_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BODY_MASS_INDEX_GREATER_THAN_40_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BOWEL_CANCER_SCREENING_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BOWEL_CANCER_SCREENING_FINDING_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BOWEL_CANCER_SCREENING_INCOMPLETE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BRADYCARDIA_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BREAST_CANCER_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'BREAST_CANCER_SCREENING_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BREAST_SCREENING_FINDING_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BREAST_SCREENING_INCOMPLETE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BREASTFEEDING_CLIN': original count = 2, added = 10, new total = 12 codes.
2025-02-19 21:22:10 - Cluster 'BRONCHIECTASIS_CLIN': original count = 1, added = 22, new total = 23 codes.
2025-02-19 21:22:10 - Cluster 'BRONCHITIS_CHRONIC_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'BRONCHOPULMONARY_DYSPLASIA_CLIN': original count = 2, added = 9, new total = 11 codes.
2025-02-19 21:22:10 - Cluster 'C_REACTIVE_PROTEIN_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CONGESTIVE_HEART_FAILURE_STAGE_3_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CONGESTIVE_HEART_FAILURE_STAGE_4_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_EXACERBATION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_AST_COD_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'COVID_ASTADMSN_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_ASTTRTATRISK1_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_ASTRES_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_BMIVAL_COD_CLIN': original count = 1, added = 6, new total = 7 codes.
2025-02-19 21:22:10 - Cluster 'COVID_LBMI_COD_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'COVID_LBMI40_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CHRONHD_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CKDRES_COD_CKD': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CKD1AND2ATRISK1_COD_CLIN': original count = 1, added = 3, new total = 4 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CKDATRISK2_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CLDATRISK1_COD_CLIN': original count = 1, added = 27, new total = 28 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CNDATRISK1_COD_CLIN': original count = 1, added = 4, new total = 5 codes.
2025-02-19 21:22:10 - Cluster 'COVID_CRDATRISK2_COD_CLIN': original count = 1, added = 5, new total = 6 codes.
2025-02-19 21:22:10 - Cluster 'COVID_DM_COD_CLIN': original count = 1, added = 2, new total = 3 codes.
2025-02-19 21:22:10 - Cluster 'COVID_DMRES_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_IMTEMP_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_IMATRISK1_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_IMRESATRISK1_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_IMTRTATRISK1_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_LD_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COVID_PREGATRISK1_COD_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'COVID_NEEDFLUVAC_COD_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'COVID_TIAATRISK_COD_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CAESAREAN_DELIVERY_CLIN': original count = 1, added = 4, new total = 5 codes.
2025-02-19 21:22:10 - Cluster 'CALCIUM_CHANNEL_BLOCKER_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CALCIUM_CHANNEL_BLOCKER_ALLERGY_CLIN': original count = 1, added = 13, new total = 14 codes.
2025-02-19 21:22:10 - Cluster 'CALCIUM_CHANNEL_BLOCKER_CONTRAINDICATED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CALORIE_RESTRICTED_DIET_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CANCER_CARE_PLAN_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CANCER_CARE_PLAN_DISCUSSED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CANCER_CARE_REVIEW_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CANCER_DIAGNOSIS_DISCUSSED_CLIN': original count = 2, added = 1, new total = 3 codes.
2025-02-19 21:22:10 - Cluster 'CANCER_QOF_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARDIAC_PACEMAKER_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOLOGY_VISIT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOMYOPATHY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOVASCULAR_DISEASE_CLIN': original count = 1, added = 6, new total = 7 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOVASCULAR_DISEASE_HIGH_RISK_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOVASCULAR_RISK_ASSESSMENT_DECLINED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CARDIOVASCULAR_SYSTEM_EXAMINATION_DECLINED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CARE_HOME_RESIDENT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARE_PLAN_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CARE_PLAN_DECLINED_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CATARACT_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CELIAC_DISEASE_CLIN': original count = 4, added = 5, new total = 9 codes.
2025-02-19 21:22:10 - Cluster 'CEREBRAL_SPINAL_FLUID_LEAK_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CEREBROVASCULAR_ACCIDENT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_AGENESIS_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_CANCER_SCREEN_COMPLETED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_CANCER_SCREENING_DECLINED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_SCREENING_ABNORMAL_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_SCREENING_FINDING_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CERVICAL_SCREENING_INCOMPLETE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHEST_DISCOMFORT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHEST_PAIN_ON_EXERTION_CLIN': original count = 2, added = 1, new total = 3 codes.
2025-02-19 21:22:10 - Cluster 'CHEST_XRAY_CLIN': original count = 2, added = 6, new total = 8 codes.
2025-02-19 21:22:10 - Cluster 'CHILD_BODY_MASS_INDEX_CENTILE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_CLIN': original count = 1, added = 71, new total = 72 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_PCR_NEGATIVE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_PCR_POSITIVE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_SCREEN_DECLINED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_SCREEN_NOT_INDICATED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_TRACHOMATIS_NEGATIVE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHLAMYDIA_TRACHOMATIS_POSITIVE_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CHOLESTEROL_TEST_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_CONGESTIVE_HEART_FAILURE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_DEMENTIA_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_KIDNEY_DISEASE_CLIN': original count = 1, added = 32, new total = 33 codes.
2025-02-19 21:22:10 - Cluster 'CKD_STAGE_3_4_OR_5_CLIN': original count = 1, added = 32, new total = 33 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_KIDNEY_DISEASE_STAGE_4_CLIN': original count = 1, added = 32, new total = 33 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_MANAGEMENT_PLAN_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_MANAGEMENT_PLAN_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_MANAGEMENT_PLAN_NOT_APPROPRIATE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_RESCUE_PACK_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_RESCUE_PACK_NOT_INDICATED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'COPD_RESOLVED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE_QOF_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CLINICAL_CARE_PLAN_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CLOPIDOGREL_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:10 - Cluster 'CLOPIDOGREL_ALLERGY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'CLOPIDOGREL_CONTRAINDICATED_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:10 - Cluster 'COCHLEAR_IMPLANT_CLIN': original count = 2, added = 6773, new total = 6775 codes.
2025-02-19 21:22:11 - Cluster 'COLORECTAL_CANCER_CLIN': original count = 2, added = 1, new total = 3 codes.
2025-02-19 21:22:11 - Cluster 'COMPLEMENT_DEFICIENCY_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'COMPREHENSIVE_GERIATRIC_ASSESSMENT_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CONGENITAL_ABNORMALITY_LIVER_GALLBLADDER_BILIARY_TREE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CONGENITAL_HEART_DISEASE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CONSENT_REFUSED_FOR_RETINOPATHY_SCREENING_PROGRAMME_RECALL_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CONSTIPATION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CONTROLLED_ATRIAL_FIBRILLATION_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:11 - Cluster 'COR_PULMONALE_CLIN': original count = 2, added = 5, new total = 7 codes.
2025-02-19 21:22:11 - Cluster 'CORONARY_ARTERY_DISEASE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CORONAVIRUS_COVID_19_NEGATIVE_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:11 - Cluster 'CORONAVIRUS_COVID_19_POSITIVE_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:11 - Cluster 'INFECTION_SARS_CORONAVIRUS_2_COVID_19_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CORTICOSTEROID_ICS_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CORTICOSTEROID_ICS_ALLERGY_CLIN': original count = 2, added = 32, new total = 34 codes.
2025-02-19 21:22:11 - Cluster 'EXPOSURE_TO_SARS_CORONAVIRUS_2_COVID_19_CLIN': original count = 2, added = 4, new total = 6 codes.
2025-02-19 21:22:11 - Cluster 'CREATININE_CLEARANCE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CURRENT_DRUG_MISUSE_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:11 - Cluster 'CURRENT_PREGNANCY_NOT_DELIVERED_CLIN': original count = 1, added = 0, new total = 1 codes.
